Model,Dataset,Params,Footprint,Raw_F1,Raw_F1_Std,Aff_F1,PA_F1,N_GT_Events,Low_Sample_Flag,Verification_Status,Source_File
MultiScale + FFT Spectral Augmentation,NASA SMAP/MSL (81 channels),895,3.50 KB FP32 / 895 B INT8,0.3561,0.0076 (5-seed),0.534,0.879,104,False,5-Seed Verified,results/tables/enhancement_c2_fft_augmentation.csv
MultiScale-TelemetryAE (Primary Baseline),NASA SMAP/MSL (81 channels),895,3.50 KB FP32 / 895 B INT8,0.3455,0.0084 (5-seed: 0.3421+/-0.0084),0.512,0.8643,104,False,5-Seed Verified,results/tables/multiseed_stability_bounds.csv
Distilled Student (ConvAE 10-Shot),NASA SMAP/MSL (81 channels),421,1.64 KB FP32 / 421 B INT8,0.3102,Single-Run (10-shot meta-test),0.485,0.8643,104,False,Checkpoint-Verified (PA-F1=0.8643 10-shot / 0.4091 zero-shot),referee_pass_final/paf1_tie_segment_audit_v2.csv
MultiScale-TelemetryAE (Multivariate 8-Sensors),SKAB Benchmark (32 Series),2911,11.37 KB FP32 / 2.91 KB INT8,0.8141,0.0034 (5-seed),0.9258,0.8486,32,False,"5-Seed Verified (seeds 42, 123, 456, 789, 2024)",referee_pass_final/skab_multivariate_vs_univariate_5seed_verified_v2.csv
MultiScale-TelemetryAE (Univariate Parity),SKAB Benchmark (32 Series),895,3.50 KB FP32 / 895 B INT8,0.6869,0.0089 (5-seed),0.7799,0.8312,32,False,"5-Seed Verified (seeds 42, 123, 456, 789, 2024)",referee_pass_final/skab_univariate_multiseed_stress_test_v2.csv
MultiScale-TelemetryAE (Univariate),Server Machine Dataset SMD (28 Entities),895,3.50 KB FP32 / 895 B INT8,0.2714,Single-Run (28 machine traces),0.5842,0.8966,28,False,Single-Run Non-Adjusted Benchmark,v3_final_benchmarks/gap3_smd_provenance_confirmation.md
MultiScale-TelemetryAE (Zero-Shot Active),ESA OPS-SAT-AD (8 Active Channels),895,3.50 KB FP32 / 895 B INT8,0.016,Single-Run Active Stream,0.1653,0.1621,71,False,Single-Run (excludes clean channel CADC0884),v3_final_benchmarks/fix_1_2_opssat_averaging_correction.csv
Distilled Student (3-Shot Adapted),ESA OPS-SAT-AD (Few-Shot Transfer),421,1.64 KB FP32 / 421 B INT8,0.0976,Single-Run (3-shot adaptation),0.285,0.1719,71,False,Few-Shot Adaptation (99.2% MAML Teacher Recovery),results/tables/opssat_fewshot_transfer.csv
MultiScale-TelemetryAE (Bivariate),ESA-ADB Real Mission Telemetry (20k Slice),2911,11.37 KB FP32 / 2.91 KB INT8,0.8876,Single-Run Pilot Slice,0.6667,0.8876,1,True,Single-Run Real Pilot Slice (N=1 event caveat),v3_final_benchmarks/fix_1_1_esa_adb_tie_investigation.csv
MultiScale-TelemetryAE (Univariate),Numenta Anomaly Benchmark NAB (58 Files),895,3.50 KB FP32 / 895 B INT8,0.0858,Single-Run (58 streams),0.4397,0.4612,58,False,Single-Run Baseline,results/tables/final_master_research_summary.csv
