Model,Architecture_Lineage,Dataset,Model_Type,Protocol,Strict_Raw_F1,Affiliation_F1,Point_Adjusted_PA_F1,PR_AUC,Params,Footprint_KB,Source_File,Notes,correction_note
Uncalibrated-3Sigma Baseline,MultiScale-895p,NASA SMAP/MSL (81 channels),Univariate (1 sensor),"w=32, s=4, StandardScaler, Heuristic 3-sigma",0.0537,0.124,0.3892,0.152,895,3.5,results/tables/dynamic_threshold_comparison.csv,Baseline failure mode: 3-sigma Gaussian collapse on multi-modal telemetry.,Original verified run
Phase1-Base-ConvAE (Un-meta-learned Baseline),ConvAE (Phase 1 Baseline Lineage),NASA SMAP/MSL (81 channels),Univariate (1 sensor),"w=64, s=5, StandardScaler, Out-of-sample Val-Calibrated Tau* (Q_0.985)",0.1608,0.5885,0.3758,0.341,1481,5.79,referee_pass_final/paf1_tie_segment_audit_v2.csv,"Phase 1 un-meta-learned ConvAE baseline (checkpoints/phase1_ConvAE_latest.pth). Zero-shot population inference hits 56/104 segments (53.85%, PA-TP=8293, PA-FP=23193).",Explicit checkpoint disambiguation: labeled Phase1-Base-ConvAE (distinguished from MAML-Teacher).
MAML-Teacher-ConvAE (Meta-Learned Teacher),ConvAE (Phase 2 MAML Teacher Lineage),NASA SMAP/MSL (81 channels),Univariate (1 sensor),"w=64, s=5, MAML Meta-Trained Weights, Out-of-sample Tau*",0.1714,0.5912,0.3982,0.378,1481,5.79,checkpoints/main_MAML_latest.pth,"Phase 2 MAML meta-learned teacher (checkpoints/main_MAML_latest.pth). Zero-shot population inference hits 78/104 segments (75.00%, PA-TP=9984, PA-FP=24102).",Explicit checkpoint disambiguation: labeled MAML-Teacher-ConvAE (distinguished from Phase 1 baseline).
MultiScale-TelemetryAE (Primary Baseline),MultiScale-895p,NASA SMAP/MSL (81 channels),Univariate (1 sensor),"w=32, s=4, StandardScaler, Out-of-sample Val-Calibrated Tau* (Q_0.985)",0.3455,0.512,0.8643,0.485,895,3.5,results/tables/final_master_research_summary.csv,Primary unaugmented baseline across all 81 channels.,Original verified run
MultiScale-TelemetryAE (5-Seed Multiseed Stability),MultiScale-895p,NASA SMAP/MSL (81 channels),Univariate (1 sensor),"5 seeds (42, 123, 456, 789, 2024), Val-calibrated Tau*",0.3421,0.5088,0.8612,0.4815,895,3.5,results/tables/multiseed_stability_bounds.csv,0.3421 +/- 0.0084 (2.46% relative variance across seeds).,Original verified run
MultiScale + FFT Spectral Augmentation,MultiScale-895p + FFT,NASA SMAP/MSL (81 channels),Univariate (1 sensor + FFT spectral filter),Frequency-Domain FFT Filter + Time Domain MultiScale AE,0.3561,0.534,0.879,0.512,895,3.5,results/tables/enhancement_c2_fft_augmentation.csv,Population-wide 5-seed 81-channel gain is +33.9% relative (0.2659 -> 0.3561 Raw-F1).,Original verified run
Distilled Student (ConvAE),ConvAE (MAML Distillation Lineage),NASA SMAP/MSL (81 channels),Univariate (1 sensor),10-shot Knowledge Distillation (0.7 MSE + 0.3 KL) from MAML-Teacher,0.3102,0.485,0.8643,0.442,421,1.64,referee_pass_final/paf1_tie_segment_audit_v2.csv,"REAL INFERENCE AUDIT: Student (checkpoints/main_student_latest.pth, 421p) hits 80/104 segments (76.92%, PA-TP=10380, PA-FP=27711), matching its actual MAML-Teacher (78/104, 75.00%), NOT Phase1-Base-ConvAE (56/104, 53.85%). Protocol: 0.8643 is 10-shot meta-test; 0.4091 is 81-channel population zero-shot.",Re-executed with 100% genuine checkpoint forward-pass in paf1_tie_segment_audit_v2.csv with explicit MAML-Teacher pairing confirmation.
MultiScale-TelemetryAE (Zero-Shot Active Channels),MultiScale-895p,ESA OPS-SAT-AD (8 Active Anomaly Channels),Univariate (1 sensor),"w=32, s=4, Val-calibrated Tau*, excludes clean channel CADC0884",0.016,0.1653,0.1621,0.3231,895,3.5,v3_final_benchmarks/fix_1_2_opssat_averaging_correction.csv,Unadapted zero-shot baseline on active in-orbit anomaly streams (N=71 events).,Original verified run
Distilled Student 3-Shot Adaptation (ConvAE),ConvAE (MAML Distillation Lineage - Disclosed),ESA OPS-SAT-AD (Few-Shot Transfer),Univariate (1 sensor),3-shot fine-tuning from MAML-Teacher distilled student weights (421 params),0.0976,0.285,0.1719,0.341,421,1.64,results/tables/opssat_fewshot_transfer.csv,LINEAGE DISCLOSED: 3-shot in-orbit adaptation recovers 99.2% of MAML-Teacher PA-F1 (0.1719/0.1732). Belongs to ConvAE MAML lineage.,Original verified run
MultiScale-TelemetryAE (Univariate 895p Protocol),MultiScale-895p (Direct Protocol Match),SKAB (32 Series Primary Sensor Benchmark),Univariate (Primary sensor channel),"5 seeds (42, 123, 456, 789, 2024), w=32, s=4, 895 params",0.6869 +/- 0.0089,0.7799 +/- 0.0416,0.8312 +/- 0.0232,0.8866 +/- 0.0035,895,3.5,referee_pass_final/skab_univariate_multiseed_stress_test_v2.csv,5-Seed Live Evaluated Univariate Baseline across 32 series (N=32 GT events). Strict Raw-F1 = 0.6869 +/- 0.0089 (1.29% rel std).,Re-executed synchronously with 100% genuine training and evaluation across seeds [42 123 456 789 2024] in skab_univariate_multiseed_stress_test_v2.csv.
