Channel,Test_Windows,GT_Segments,Teacher_Segments_Hit,Student_Segments_Hit,Teacher_Raw_F1,Student_Raw_F1,Teacher_FP_PA,Student_FP_PA,Teacher_PA_F1,Student_PA_F1,PA_F1_Delta
P-1,1689,3,0,0,0.0,0.0,0,0,0.0,0.0,0.0
S-1,1454,1,1,1,0.367,0.7973,0,0,1.0,1.0,0.0
E-1,1691,2,0,0,0.0,0.0,0,0,0.0,0.0,0.0
E-2,1694,1,0,1,0.0,0.2724,0,0,0.0,1.0,1.0
E-3,1649,1,1,1,0.11,0.4218,0,0,1.0,1.0,0.0
E-4,1659,1,0,0,0.0,0.0,0,0,0.0,0.0,0.0
E-5,1647,1,0,0,0.0,0.0,0,0,0.0,0.0,0.0
E-6,1648,1,1,1,0.7027,0.3133,11,57,0.7027,0.3133,0.3894
E-7,1650,1,1,1,0.8058,0.9739,27,3,0.8058,0.9739,0.1682
E-8,1694,1,0,1,0.0,0.3851,0,6,0.0,0.9764,0.9764
E-9,1648,1,0,0,0.0,0.0,0,0,0.0,0.0,0.0
E-10,1689,2,0,1,0.0,0.8348,0,3,0.0,0.8926,0.8926
E-11,1691,2,0,1,0.0,0.8762,0,1,0.0,0.8972,0.8972
E-12,1690,2,0,0,0.0,0.0,0,0,0.0,0.0,0.0
E-13,1716,3,0,2,0.0,0.2018,0,46,0.0,0.6197,0.6197
A-1,1716,1,1,1,0.0196,0.0196,1699,1699,0.0196,0.0196,0.0
D-1,1690,1,1,1,0.8755,0.9504,0,0,1.0,1.0,0.0
P-2,1630,1,1,1,0.6858,0.6145,180,320,0.7391,0.6145,0.1247
P-3,1686,1,1,1,0.9146,0.893,0,2,1.0,0.9963,0.0037
D-2,1707,1,1,1,0.6633,0.6633,856,856,0.6633,0.6633,0.0
D-3,1716,1,1,1,0.9438,0.8307,78,267,0.9438,0.8307,0.1131
D-4,1682,1,1,1,0.9946,0.8955,7,150,0.9946,0.8955,0.099
