Candidate Model,Parameters,FP32 Footprint,Val Raw-F1,Val PR-AUC,Selection Score,Test Raw-F1,Test Aff-F1,Test PA-F1
MultiScale-911p (W128),911,3.56 KB,0.1143,0.5904,0.2324,0.346,0.6423,0.4451
MultiScale-911p (W100),911,3.56 KB,0.1106,0.5765,0.226,0.3303,0.6371,0.4519
TinyGRU-3200p,3353,13.10 KB,0.1102,0.5727,0.2247,0.3503,0.5979,0.4412
MultiScale-911p,911,3.56 KB,0.1045,0.547,0.2139,0.3372,0.6385,0.4692
MultiScale-421p,276,1.08 KB,0.104,0.5488,0.2138,0.3394,0.6445,0.4617
MultiScale-4800p,4945,19.32 KB,0.1033,0.5438,0.212,0.3279,0.6339,0.449
LightTransformer-2400p,2305,9.00 KB,0.1033,0.5417,0.2117,0.3222,0.6299,0.4486
HybridPredictive-2800p,1710,6.68 KB,0.1032,0.5422,0.2116,0.3389,0.6282,0.4637
MultiScale-2100p,2111,8.25 KB,0.103,0.5424,0.2115,0.3471,0.6422,0.4745
MultiScale-10700p,10789,42.14 KB,0.103,0.5418,0.2114,0.3409,0.6373,0.4668
DilatedTCN-1800p,4398,17.18 KB,0.1027,0.5333,0.2093,0.3325,0.6231,0.4486
MultiScale-911p (StandardScaler),911,3.56 KB,0.0988,0.5319,0.2052,0.3307,0.6254,0.448
