Model,K-Shot,Raw F1,Point-Adjust F1,Model Size (KB)
Teacher (Zero-Shot),0,0.32148221833340407,0.6039150305388685,5.79
Distilled Student (Zero-Shot),0,0.33591989487316976,0.6074570541988452,1.64
Teacher (3-Shot),3,0.36345431289556007,0.6973500649383312,5.79
Distilled Student (3-Shot),3,0.18372965707668518,0.6252368274241669,1.64
Teacher (5-Shot),5,0.13216520150748154,0.6979584669246572,5.79
Distilled Student (5-Shot),5,0.08961201001833297,0.6288178178872446,1.64
Teacher (10-Shot),10,0.07459323655157468,0.6842285278260154,5.79
Distilled Student (10-Shot),10,0.1066599849844549,0.6688963165056593,1.64
Teacher (20-Shot),20,0.06257821777816804,0.658578851620736,5.79
Distilled Student (20-Shot),20,0.07509386233379994,0.6614447300107787,1.64
