channel,subsystem,weight,raw_score,weighted_score
P-15,power,3.0,0.5003245870501669,1.5009737611505007
A-2,attitude,2.0,0.6209564643538059,1.2419129287076118
E-3,thermal,2.0,0.5910381495614562,1.1820762991229123
P-1,power,3.0,0.3913630274850897,1.1740890824552692
T-2,thermal,2.0,0.5799392811312031,1.1598785622624062
E-12,thermal,2.0,0.501431574192752,1.002863148385504
A-9,attitude,2.0,0.49631359425281385,0.9926271885056277
T-1,thermal,2.0,0.4185067693157487,0.8370135386314974
E-4,thermal,2.0,0.40912812275216703,0.8182562455043341
P-7,power,3.0,0.2610015345931072,0.7830046037793217
A-5,attitude,2.0,0.37268999447466034,0.7453799889493207
E-1,thermal,2.0,0.3649981383703242,0.7299962767406484
T-13,thermal,2.0,0.3454460509755235,0.690892101951047
E-5,thermal,2.0,0.3135396125749117,0.6270792251498234
E-13,thermal,2.0,0.30467216293708754,0.6093443258741751
P-14,power,3.0,0.20192777536031034,0.605783326080931
P-10,power,3.0,0.20181270372904778,0.6054381111871433
T-8,thermal,2.0,0.2802785459223767,0.5605570918447534
T-4,thermal,2.0,0.2768521854161935,0.553704370832387
A-4,attitude,2.0,0.2686085886976452,0.5372171773952904
A-7,attitude,2.0,0.2538585598390785,0.507717119678157
M-2,other,1.0,0.4740879499953434,0.4740879499953434
D-2,other,1.0,0.44765961190795195,0.44765961190795195
A-3,attitude,2.0,0.19640748460737487,0.39281496921474973
T-12,thermal,2.0,0.19610776594758772,0.39221553189517544
G-6,other,1.0,0.38898035673212195,0.38898035673212195
D-11,other,1.0,0.3763253474064151,0.3763253474064151
P-11,power,3.0,0.12521504203932424,0.37564512611797274
B-1,other,1.0,0.36714493659494807,0.36714493659494807
D-15,other,1.0,0.36504969977348756,0.36504969977348756
F-1,other,1.0,0.34941324739384017,0.34941324739384017
G-1,other,1.0,0.3303523969345836,0.3303523969345836
E-10,thermal,2.0,0.16315320726399898,0.32630641452799797
D-13,other,1.0,0.32421670706704003,0.32421670706704003
E-11,thermal,2.0,0.15953206701863407,0.31906413403726813
E-9,thermal,2.0,0.15390443664336811,0.30780887328673623
P-2,power,3.0,0.09798126904012965,0.2939438071203889
D-1,other,1.0,0.29284085045151054,0.29284085045151054
M-1,other,1.0,0.2896830014705043,0.2896830014705043
C-2,other,1.0,0.2878478037924206,0.2878478037924206
P-3,power,3.0,0.09033804693644924,0.2710141408093477
F-3,other,1.0,0.268322089729077,0.268322089729077
T-9,thermal,2.0,0.13409698730113065,0.2681939746022613
A-6,attitude,2.0,0.1232807963979838,0.2465615927959676
M-5,other,1.0,0.23360271360598742,0.23360271360598742
A-8,attitude,2.0,0.11612307362103846,0.23224614724207693
C-1,other,1.0,0.23033367549519865,0.23033367549519865
F-7,other,1.0,0.22994806154465844,0.22994806154465844
M-4,other,1.0,0.2143279936587073,0.2143279936587073
M-3,other,1.0,0.17109037361184037,0.17109037361184037
F-4,other,1.0,0.15912940011442955,0.15912940011442955
D-16,other,1.0,0.15495477061340351,0.15495477061340351
D-3,other,1.0,0.14447556543726245,0.14447556543726245
F-8,other,1.0,0.14096883239631763,0.14096883239631763
D-4,other,1.0,0.13972478217661025,0.13972478217661025
E-2,thermal,2.0,0.06943441422791904,0.1388688284558381
D-12,other,1.0,0.12681051097845927,0.12681051097845927
D-7,other,1.0,0.12385357043594862,0.12385357043594862
S-1,other,1.0,0.12363170987272955,0.12363170987272955
D-9,other,1.0,0.11959087773240216,0.11959087773240216
F-2,other,1.0,0.11182778204187949,0.11182778204187949
T-5,thermal,2.0,0.04597778337181739,0.09195556674363478
E-8,thermal,2.0,0.04277961662012816,0.08555923324025631
D-14,other,1.0,0.07251055715347939,0.07251055715347939
M-6,other,1.0,0.06782434920945282,0.06782434920945282
P-4,power,3.0,0.022049520528052965,0.0661485615841589
S-2,other,1.0,0.05625500120868573,0.05625500120868573
M-7,other,1.0,0.05011708098811265,0.05011708098811265
E-7,thermal,2.0,0.024554561051505237,0.04910912210301047
D-6,other,1.0,0.04744637711788079,0.04744637711788079
T-3,thermal,2.0,0.023429675452402047,0.046859350904804094
G-7,other,1.0,0.04624308908562567,0.04624308908562567
D-5,other,1.0,0.035771311801548036,0.035771311801548036
F-5,other,1.0,0.033560668265204006,0.033560668265204006
E-6,thermal,2.0,0.011894207801718003,0.023788415603436006
A-1,attitude,2.0,0.011497620602100217,0.022995241204200434
R-1,other,1.0,0.01395169846661441,0.01395169846661441
G-2,other,1.0,0.013748025057896296,0.013748025057896296
G-4,other,1.0,0.013367339190001886,0.013367339190001886
G-3,other,1.0,0.013089182921393123,0.013089182921393123
D-8,other,1.0,0.012845653494709869,0.012845653494709869
