model,precision_raw,recall_raw,f1_raw,precision_pa,recall_pa,f1_point_adjust,seed
LSTM Forecaster,0.4016,0.0887,0.1453,0.804,0.5422,0.6476,42
Conv-AE (1D),0.2645,0.0501,0.0843,0.8117,0.6008,0.6905,42
Transformer,0.422,0.099,0.1604,0.8391,0.7072,0.7675,42
MAML (5-shot),0.785,0.2243,0.3489,0.928,0.792,0.8546,42
Pretrained+FewShot (5-shot),0.5185,0.0615,0.11,0.9307,0.767,0.841,42
ELM,0.4673,0.1095,0.1774,0.8557,0.7403,0.7938,42
Distilled Student (5-shot),0.5882,0.0733,0.1303,0.9405,0.8103,0.8705,42
LSTM Forecaster,0.4276,0.088,0.146,0.8199,0.5365,0.6486,7
Conv-AE (1D),0.4021,0.0923,0.1502,0.8072,0.5751,0.6717,7
Transformer,0.4048,0.0994,0.1597,0.8199,0.6659,0.7349,7
MAML (5-shot),0.8005,0.2287,0.3558,0.9308,0.7661,0.8404,7
Pretrained+FewShot (5-shot),0.8846,0.0674,0.1253,0.9893,0.8117,0.8918,7
ELM,0.4574,0.1092,0.1763,0.8498,0.7327,0.7869,7
Distilled Student (5-shot),0.6993,0.0784,0.141,0.9594,0.7956,0.8698,7
LSTM Forecaster,0.3945,0.0865,0.1419,0.8095,0.5641,0.6649,123
Conv-AE (1D),0.4434,0.1216,0.1908,0.8265,0.727,0.7736,123
Transformer,0.3952,0.094,0.1519,0.8052,0.5946,0.684,123
MAML (5-shot),0.7617,0.2295,0.3527,0.8804,0.5285,0.6605,123
Pretrained+FewShot (5-shot),0.6744,0.0425,0.0799,0.9748,0.7941,0.8753,123
ELM,0.4578,0.1095,0.1767,0.8497,0.7333,0.7872,123
Distilled Student (5-shot),0.4631,0.0505,0.0911,0.9298,0.7766,0.8463,123
LSTM Forecaster,0.4134,0.0877,0.1448,0.8324,0.6184,0.7096,2024
Conv-AE (1D),0.1961,0.0401,0.0666,0.8018,0.6656,0.7274,2024
Transformer,0.3962,0.1024,0.1627,0.7884,0.5812,0.6691,2024
MAML (5-shot),0.8067,0.2317,0.36,0.9357,0.8083,0.8674,2024
Pretrained+FewShot (5-shot),0.5034,0.0535,0.0967,0.9378,0.7956,0.8609,2024
ELM,0.4487,0.1071,0.1729,0.8513,0.7536,0.7995,2024
Distilled Student (5-shot),0.4788,0.0579,0.1033,0.9254,0.7817,0.8475,2024
LSTM Forecaster,0.414,0.0855,0.1418,0.8088,0.512,0.627,99
Conv-AE (1D),0.3943,0.094,0.1518,0.8121,0.6244,0.706,99
Transformer,0.3726,0.0964,0.1531,0.8159,0.7189,0.7643,99
MAML (5-shot),0.788,0.2339,0.3607,0.9241,0.7661,0.8377,99
Pretrained+FewShot (5-shot),0.869,0.0535,0.1008,0.99,0.7956,0.8822,99
ELM,0.4392,0.1061,0.1709,0.8244,0.6362,0.7182,99
Distilled Student (5-shot),0.614,0.0513,0.0947,0.9611,0.7956,0.8705,99
