model,precision_raw,recall_raw,f1_raw,precision_pa,recall_pa,f1_point_adjust,fold
Teacher - POWER channels,1.0,0.0233,0.0455,1.0,0.5116,0.6769,0
Teacher - other channels,0.6508,0.3585,0.4623,0.8295,0.9357,0.8794,0
Student - POWER channels,1.0,0.0233,0.0455,1.0,0.5116,0.6769,0
Student - other channels,0.6692,0.3533,0.4624,0.8265,0.8319,0.8292,0
Teacher - POWER channels,1.0,0.0629,0.1184,1.0,1.0,1.0,1
Teacher - other channels,0.9693,0.1849,0.3106,0.9914,0.6771,0.8046,1
Student - POWER channels,1.0,0.0769,0.1429,1.0,1.0,1.0,1
Student - other channels,0.976,0.1589,0.2732,0.9956,0.888,0.9387,1
Teacher - POWER channels,0.0,0.0,0.0,0.0,0.0,0.0,2
Teacher - other channels,0.9748,0.2598,0.4102,0.9928,0.926,0.9583,2
Student - POWER channels,0.0,0.0,0.0,0.0,0.0,0.0,2
Student - other channels,0.9619,0.2622,0.4121,0.9891,0.9438,0.9659,2
Teacher - POWER channels,0.0,0.0,0.0,0.0,0.0,0.0,3
Teacher - other channels,0.4444,0.1543,0.229,0.8062,0.8022,0.8042,3
Student - POWER channels,0.0,0.0,0.0,0.0,0.0,0.0,3
Student - other channels,0.2926,0.148,0.1966,0.6909,0.7994,0.7412,3
Teacher - POWER channels,1.0,0.0986,0.1795,1.0,0.4085,0.58,4
Teacher - other channels,0.3431,0.0984,0.1529,0.8075,0.7899,0.7986,4
Student - POWER channels,1.0,0.0282,0.0548,1.0,0.4085,0.58,4
Student - other channels,0.2306,0.071,0.1085,0.8,0.9473,0.8674,4
